Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
3,male,34.5,0,0,7.8292,,Q
3,female,47,1,0,7,,S
2,male,62,0,0,9.6875,,Q
3,male,27,0,0,8.6625,,S
3,female,22,1,1,12.2875,,S
3,male,14,0,0,9.225,,S
3,female,30,0,0,7.6292,,Q
2,male,26,1,1,29,,S
3,female,18,0,0,7.2292,,C
3,male,21,2,0,24.15,,S
3,male,,0,0,7.8958,,S
1,male,46,0,0,26,,S
1,female,23,1,0,82.2667,B45,S
2,male,63,1,0,26,,S
1,female,47,1,0,61.175,E31,S
2,female,24,1,0,27.7208,,C
2,male,35,0,0,12.35,,Q
3,male,21,0,0,7.225,,C
3,female,27,1,0,7.925,,S
3,female,45,0,0,7.225,,C
1,male,55,1,0,59.4,,C
3,male,9,0,1,3.1708,,S
1,female,,0,0,31.6833,,S
1,male,21,0,1,61.3792,,C
1,female,48,1,3,262.375,B57 B59 B63 B66,C
3,male,50,1,0,14.5,,S
1,female,22,0,1,61.9792,B36,C
3,male,22.5,0,0,7.225,,C
1,male,41,0,0,30.5,A21,S
3,male,,2,0,21.6792,,C
2,male,50,1,0,26,,S
2,male,24,2,0,31.5,,S
3,female,33,1,2,20.575,,S
3,female,,1,2,23.45,,S
1,male,30,1,0,57.75,C78,C
3,male,18.5,0,0,7.2292,,C
3,female,,0,0,8.05,,S
3,female,21,0,0,8.6625,,S
3,male,25,0,0,9.5,,S
3,male,,0,0,56.4958,,S
3,male,39,0,1,13.4167,,C
1,male,,0,0,26.55,D34,S
3,male,41,0,0,7.85,,S
2,female,30,0,0,13,,S
1,female,45,1,0,52.5542,D19,S
3,male,25,0,0,7.925,,S
1,male,45,0,0,29.7,A9,C
3,male,,0,0,7.75,,Q
1,female,60,0,0,76.2917,D15,C
3,female,36,0,2,15.9,,S
1,male,24,1,0,60,C31,S
2,male,27,0,0,15.0333,,C
2,female,20,2,1,23,,S
1,female,28,3,2,263,C23 C25 C27,S
2,male,,0,0,15.5792,,C
3,male,10,4,1,29.125,,Q
3,male,35,0,0,7.8958,,S
3,male,25,0,0,7.65,F G63,S
3,male,,1,0,16.1,,S
1,female,36,0,0,262.375,B61,C
3,male,17,0,0,7.8958,,S
2,male,32,0,0,13.5,,S
3,male,18,0,0,7.75,,S
3,female,22,0,0,7.725,,Q
1,male,13,2,2,262.375,B57 B59 B63 B66,C
2,female,,0,0,21,,S
